Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Estonia,3.34,3.37,3.4,3.52,3.55,3.62,3.71,3.69,3.9,3.85,3.96,4.02,4.04,4.12,4.31,4.27,4.42,4.42,4.48,4.67,4.78,5.01,5.13,5.31,5.37,6.25,6.95,6.91,7.01
Eswatini,4.82,4.79,4.72,4.68,4.71,4.68,4.63,4.6,4.55,4.51,4.72,4.91,4.77,5.02,4.93,4.89,4.67,4.55,4.78,4.7,4.71,4.55,4.48,4.27,4.15,4.05,4.36,4.23,4.12
Ethiopia,341.19,339.67,333.69,326.39,314.44,300.34,287.06,272.63,268.51,257.79,248.94,239.88,221.33,210.82,203.34,199.87,202.04,184.41,180.89,184.5,179.88,166.26,155.7,147.42,142.04,135.74,142.17,133.82,127.79
European Union (27),1268.18,1280.11,1287.84,1303.82,1301.8,1321.25,1341.87,1348.84,1382.17,1391.51,1421.07,1434.02,1455.81,1486.14,1516.8,1564.38,1585.79,1629.01,1647.71,1668.29,1688.48,1736.88,1767.69,1782.05,1801.46,1842.11,1880.28,1941.99,2011.61
Fiji,2.35,2.31,2.21,2.16,3.32,3.1,2.9,2.72,2.52,2.57,2.59,2.64,2.63,2.67,2.67,2.63,2.63,2.72,2.69,2.67,2.73,2.76,2.73,2.74,2.65,2.53,2.39,2.35,2.3
Finland,13.01,13.31,13.7,14.09,14.3,14.73,15.14,15.26,15.78,15.69,16.01,16.41,16.95,16.81,17.68,18.47,19.22,20.1,20.62,21.67,22.3,23.11,23.52,23.88,24.56,24.87,24.95,25.15,25.4
France,178.0,180.45,182.82,186.03,188.46,191.55,192.79,195.3,201.84,202.78,207.12,207.69,208.28,211.92,216.26,220.88,225.43,232.82,233.87,231.96,233.36,233.56,239.66,243.24,242.38,243.27,242.9,245.52,245.01
Gabon,3.65,3.75,3.69,3.6,3.52,3.64,3.56,3.61,3.44,3.35,3.52,3.37,3.37,3.25,3.34,3.12,3.02,2.91,2.95,3.69,4.4,5.11,5.83,6.63,7.26,7.49,7.73,7.94,8.19
Gambia,5.48,5.34,5.29,5.22,5.18,5.02,4.8,4.43,5.3,4.93,4.01,3.55,3.45,3.24,3.15,2.93,2.7,2.71,3.28,4.84,5.96,7.44,8.98,10.5,11.93,13.31,12.97,12.63,12.19
Georgia,16.61,16.94,17.19,17.33,18.22,18.31,18.45,18.3,18.48,18.56,18.82,19.09,19.56,19.7,21.39,22.48,21.06,21.11,25.06,25.04,25.02,25.16,25.05,24.84,29.27,34.85,42.24,51.05,58.46
Germany,172.28,176.54,178.79,182.91,183.43,187.67,190.86,187.93,191.72,194.14,203.19,205.8,214.05,227.38,241.27,262.76,277.78,292.5,310.6,325.67,326.09,347.3,358.67,368.94,375.03,393.14,394.25,420.74,437.16
Ghana,76.89,74.83,72.5,69.83,64.19,59.42,53.39,49.44,43.03,41.32,40.64,39.39,38.99,39.02,35.79,35.96,33.95,33.06,33.58,30.44,32.34,28.83,26.21,25.08,23.88,22.79,21.56,20.94,19.55
